curValue,fromValue,diff,entityId,name,prevMonthValue
--------,---------,----,--------,----,--------------
30900511.00,180209.48,30720301.52,90020,Utility,254936.16
30903747.25,186340.87,30717406.38,90010,GDL06,261208.38
3239.38,6130.51,-2891.14,90030,Solar,5267.50

(3 rows affected)
