curValue,fromValue,diff,entityId,name,prevMonthValue
--------,---------,----,--------,----,--------------
18049.56,14962.75,3086.82,110001,Innovation Lab Ph2,26804.46
14707.31,12478.37,2228.94,110002,Main Meter,21364.94
113.16,86.67,26.48,110023,EV,253.59
3342.25,3536.05,-193.80,110010,PV Total,5439.52
0.00,213.91,-213.91,110020,SmartStudioLoad Total,262.14

(5 rows affected)
