curValue,fromValue,diff,entityId,name,prevMonthValue
--------,---------,----,--------,----,--------------
127075.50,126927.10,148.40,27000,West Wing,171064.78
86284.88,86247.50,37.38,26000,East Wing,116099.90
24016.50,24045.87,-29.37,20060,Garage,31586.26
365704.00,365958.95,-254.95,20050,Central Utility Plant,381631.53
211706.25,212027.48,-321.23,30000,South Wing,271965.50
813503.75,815262.82,-1759.07,20000,Austin Waterfront,950592.92

(6 rows affected)
